Beam Energy [GeV],-t [GeV**2],-(t-tmin) [GeV**2],ds/dt
16.0,0.37435525,0.26273552,0.00027454467
16.0,0.26084377,0.14922403,0.00093989929
16.0,0.18779073,0.07617099,0.0023799556
16.0,0.16755703,0.055937291,0.0030966352
16.0,0.15942623,0.047806492,0.003456501
16.0,0.14675576,0.035136023,0.0041388043
16.0,0.1324414,0.020821658,0.0051619497
16.0,0.11976138,0.0081416467,0.0063959935
16.0,0.11161974,0.0,0.0074162059
18.0,0.57173736,0.48491923,6.7444984e-05
18.0,0.086818128,0.0,0.013347878
18.0,0.096935571,0.010117443,0.010914508
18.0,0.11269214,0.02587401,0.0080686321
18.0,0.13047873,0.043660598,0.0059140352
18.0,0.14622188,0.059403755,0.0045991742
18.0,0.15632408,0.069505952,0.0039504215
18.0,0.18146235,0.09464422,0.0027626822
18.0,1.9239294,1.8371112,1.1721575e-06
18.0,1.0452724,0.95845425,9.1049797e-06
18.0,0.80114885,0.71433072,2.1587218e-05
18.0,0.27220769,0.18538956,0.00086237739
18.0,0.41316178,0.32634365,0.0002078619
18.0,0.71162076,0.62480263,3.2013071e-05
